scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B513:1:1,Eumeninae,,,,,,subfamily,,B513:1,accepted,,,,,,,,,,Eumeninae,,,,Eumeninae,,,,
B513:1:2,"Alastor Lepeletier, 1841","Lepeletier, 1841",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Alastor,,Eumeninae,"Alastor Lepeletier, 1841",628YT,1328335,628YT,1328335
B513:1:3,"Alastor atropos Lepeletier, 1841","Lepeletier, 1841",Alastor,,atropos,,species,,B513:1,accepted,,,B513:1:2,"Alastor Lepeletier, 1841",,,,,,Eumeninae,Alastor,,Eumeninae | Alastor,"atropos Lepeletier, 1841",5TW4R,5036352,5TW4R,5036352
B513:1:4,"Allodynerus Blüthgen, 1938","Blüthgen, 1938",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Allodynerus,,Eumeninae,"Allodynerus Blüthgen, 1938",SB4,1332452,SB4,1332452
B513:1:5,"Allodynerus delphinalis (Giraud, 1866)","(Giraud, 1866)",Allodynerus,,delphinalis,,species,,B513:1,accepted,,,B513:1:4,"Allodynerus Blüthgen, 1938",,,,,,Eumeninae,Allodynerus,,Eumeninae | Allodynerus,"delphinalis (Giraud, 1866)",65WMW,1332469,65WMW,1332469
B513:1:6,"Allodynerus floricola (Saussure, 1853)","(Saussure, 1853)",Allodynerus,,floricola,,species,,B513:1,accepted,,,B513:1:4,"Allodynerus Blüthgen, 1938",,,,,,Eumeninae,Allodynerus,,Eumeninae | Allodynerus,"floricola (Saussure, 1853)",BWFX,1332467,BWFX,1332467
B513:1:7,"Allodynerus rossii (Lepeletier, 1853)","(Lepeletier, 1853)",Allodynerus,,rossii,,species,,B513:1,accepted,,,B513:1:4,"Allodynerus Blüthgen, 1938",,,,,,Eumeninae,Allodynerus,,Eumeninae | Allodynerus,"rossii (Lepeletier, 1853)",BWG9,1332457,BWG9,1332457
B513:1:8,"Ancistrocerus Wesmael, 1836","Wesmael, 1836",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Ancistrocerus,,Eumeninae,"Ancistrocerus Wesmael, 1836",VJJ,1311332,VJJ,1311332
B513:1:9,Ancistrocerus antilope (Panzer 1798),(Panzer 1798),Ancistrocerus,,antilope,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,antilope (Panzer 1798),DMFP,5037413,DMFP,5037413
B513:1:10,Ancistrocerus auctus (Fabricius 1793),(Fabricius 1793),Ancistrocerus,,auctus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,auctus (Fabricius 1793),DMFY,5037360,DMFY,5037360
B513:1:11,"Ancistrocerus claripennis Thomson, 1874","Thomson, 1874",Ancistrocerus,,claripennis,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"claripennis Thomson, 1874",66LRV,5037372,66LRV,5037372
B513:1:12,"Ancistrocerus dusmetiolus (Strand, 1914)","(Strand, 1914)",Ancistrocerus,,dusmetiolus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"dusmetiolus (Strand, 1914)",DMH5,5037509,DMH5,5037509
B513:1:13,"Ancistrocerus gazella (Panzer, 1798)","(Panzer, 1798)",Ancistrocerus,,gazella,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"gazella (Panzer, 1798)",DMHP,5037434,DMHP,5037434
B513:1:14,"Ancistrocerus ichneumonideus (Ratzeburg, 1844)","(Ratzeburg, 1844)",Ancistrocerus,,ichneumonideus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"ichneumonideus (Ratzeburg, 1844)",DMHZ,5037346,DMHZ,5037346
B513:1:15,"Ancistrocerus nigricornis (Curtis, 1826)","(Curtis, 1826)",Ancistrocerus,,nigricornis,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"nigricornis (Curtis, 1826)",DMKM,5037318,DMKM,5037318
B513:1:16,"Ancistrocerus oviventris (Wesmael, 1836)","(Wesmael, 1836)",Ancistrocerus,,oviventris,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"oviventris (Wesmael, 1836)",DMKT,5037484,DMKT,5037484
B513:1:17,"Ancistrocerus parietinus (Linnaeus, 1761)","(Linnaeus, 1761)",Ancistrocerus,,parietinus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"parietinus (Linnaeus, 1761)",DMKZ,5037271,DMKZ,5037271
B513:1:18,"Ancistrocerus parietum (Linnaeus, 1758)","(Linnaeus, 1758)",Ancistrocerus,,parietum,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"parietum (Linnaeus, 1758)",DML2,5037386,DML2,5037386
B513:1:19,"Ancistrocerus renimacula (Lepeletier, 1841)","(Lepeletier, 1841)",Ancistrocerus,,renimacula,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"renimacula (Lepeletier, 1841)",DMLH,5037308,DMLH,5037308
B513:1:20,"Ancistrocerus scoticus (Curtis, 1826)","(Curtis, 1826)",Ancistrocerus,,scoticus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"scoticus (Curtis, 1826)",DMLY,10641571,DMLY,10641571
B513:1:21,"Ancistrocerus trifasciatus (Müller, 1776)","(Müller, 1776)",Ancistrocerus,,trifasciatus,,species,,B513:1,accepted,,,B513:1:8,"Ancistrocerus Wesmael, 1836",,,,,,Eumeninae,Ancistrocerus,,Eumeninae | Ancistrocerus,"trifasciatus (Müller, 1776)",66M4C,5037467,66M4C,5037467
B513:1:22,"Antepipona Saussure, 1855","Saussure, 1855",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Antepipona,,Eumeninae,"Antepipona Saussure, 1855",62DB7,1328604,62DB7,1328604
B513:1:23,"Antepipona deflenda (Saunders, 1853)","(Saunders, 1853)",Antepipona,,deflenda,,species,,B513:1,accepted,,,B513:1:22,"Antepipona Saussure, 1855",,,,,,Eumeninae,Antepipona,,Eumeninae | Antepipona,"deflenda (Saunders, 1853)",66ZGK,1328773,66ZGK,1328773
B513:1:24,"Antepipona orbitalis (Herrich-Schaeffer, 1839)","(Herrich-Schaeffer, 1839)",Antepipona,,orbitalis,,species,,B513:1,accepted,,,B513:1:22,"Antepipona Saussure, 1855",,,,,,Eumeninae,Antepipona,,Eumeninae | Antepipona,"orbitalis (Herrich-Schaeffer, 1839)",66Z7C,1328716,66Z7C,1328716
B513:1:25,"Delta Saussure, 1855","Saussure, 1855",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Delta,,Eumeninae,"Delta Saussure, 1855",42RD,1330315,42RD,1330315
B513:1:26,"Delta unguiculatus (Villers, 1789)","(Villers, 1789)",Delta,,unguiculatus,,species,,B513:1,accepted,,,B513:1:25,"Delta Saussure, 1855",,,,,,Eumeninae,Delta,,Eumeninae | Delta,"unguiculatus (Villers, 1789)",34K3Y,5036694,34K3Y,5036694
B513:1:27,"Discoelius Latreille, 1809","Latreille, 1809",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Discoelius,,Eumeninae,"Discoelius Latreille, 1809",46PZ,1330599,46PZ,1330599
B513:1:28,"Discoelius dufourii Lepeletier, 1841","Lepeletier, 1841",Discoelius,,dufourii,,species,,B513:1,accepted,,,B513:1:27,"Discoelius Latreille, 1809",,,,,,Eumeninae,Discoelius,,Eumeninae | Discoelius,"dufourii Lepeletier, 1841",6CZ7N,1330614,6CZ7N,1330614
B513:1:29,"Discoelius zonalis (Panzer, 1801)","(Panzer, 1801)",Discoelius,,zonalis,,species,,B513:1,accepted,,,B513:1:27,"Discoelius Latreille, 1809",,,,,,Eumeninae,Discoelius,,Eumeninae | Discoelius,"zonalis (Panzer, 1801)",6CZ7P,1330617,6CZ7P,1330617
B513:1:30,"Eumenes Latreille, 1802","Latreille, 1802",,,,,genus,,B513:1,accepted,,,B513:1:1,Eumeninae,,,,,,Eumeninae,Eumenes,,Eumeninae,"Eumenes Latreille, 1802",4FY8,1311630,4FY8,1311630
B513:1:31,"Eumenes coarctatus (Linné, 1758)","(Linné, 1758)",Eumenes,,coarctatus,,species,,B513:1,accepted,,,B513:1:30,"Eumenes Latreille, 1802",,,,,,Eumeninae,Eumenes,,Eumeninae | Eumenes,"coarctatus (Linné, 1758)",3CDF6,5037103,3CDF6,5037103
B513:1:32,"Eumenes coronatus (Panzer, 1799)","(Panzer, 1799)",Eumenes,,coronatus,,species,,B513:1,accepted,,,B513:1:30,"Eumenes Latreille, 1802",,,,,,Eumeninae,Eumenes,,Eumeninae | Eumenes,"coronatus (Panzer, 1799)",3CDFL,5036899,3CDFL,5036899
B513:1:33,"Eumenes mediterraneus (Kriechbaumer, 1874)","(Kriechbaumer, 1874)",Eumenes,,mediterraneus,,species,,B513:1,accepted,,,B513:1:30,"Eumenes Latreille, 1802",,,,,,Eumeninae,Eumenes,,Eumeninae | Eumenes,"mediterraneus (Kriechbaumer, 1874)",3CDL9,5036847,3CDL9,5036847
B513:1:34,"Eumenes papillarius (Christ, 1791)","(Christ, 1791)",Eumenes,,papillarius,,species,,B513:1,accepted,,,B513:1:30,"Eumenes Latreille, 1802",,,,,,Eumeninae,Eumenes,,Eumeninae | Eumenes,"papillarius (Christ, 1791)",3CDMC,5036870,3CDMC,5036870
