scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B150:1:1,Ephemeridae,,,,,,family,,B150:1,accepted,,,,,,,,,Ephemeridae,,,,,EPHEMERIDAE,9SB,4298,9SB,4298
B150:1:2,Ephemera L.,L.,,,,,genus,,B150:1,accepted,,,B150:1:1,Ephemeridae,,,,,Ephemeridae,,Ephemera,,Ephemeridae,Ephemera L.,4CTJ,1407107,4CTJ,1407107
B150:1:3,Ephemera danica Müller,Müller,Ephemera,,danica,,species,,B150:1,accepted,,,B150:1:2,Ephemera L.,,,,,Ephemeridae,,Ephemera,,Ephemeridae | Ephemera,Ephemera danica Müller,6FP8R,5716472,6FP8R,5716472
B150:1:4,Ephemera lineata L.,L.,Ephemera,,lineata,,species,,B150:1,accepted,,,B150:1:2,Ephemera L.,,,,,Ephemeridae,,Ephemera,,Ephemeridae | Ephemera,Ephemera lineata L.,6FP8D,6096694,6FP8D,6096694
B150:1:5,Ephemera vulgata Eaton,Eaton,Ephemera,,vulgata,,species,,B150:1,accepted,,,B150:1:2,Ephemera L.,,,,,Ephemeridae,,Ephemera,,Ephemeridae | Ephemera,Ephemera vulgata Eaton,6FP9C,5864880,6FP9C,5864880
B150:1:6,Potamanthidae,,,,,,family,,B150:1,accepted,,,,,,,,,Potamanthidae,,,,,POTAMANTHIDAE,627MS,2235,627MS,2235
B150:1:7,Potamanthus,,,,,,genus,,B150:1,accepted,,,B150:1:6,Potamanthidae,,,,,Potamanthidae,,Potamanthus,,Potamanthidae,Potamanthus,6V57,12033390,6V57,12033390
B150:1:8,Potamanthus luteus (L.),(L.),Potamanthus,,luteus,,species,,B150:1,accepted,,,B150:1:7,Potamanthus,,,,,Potamanthidae,,Potamanthus,,Potamanthidae | Potamanthus,Potamanthus luteus (L.),6VVKH,1407105,6VVKH,1407105
B150:1:9,Leptophlebiidae,,,,,,family,,B150:1,accepted,,,,,,,,,Leptophlebiidae,,,,,LEPTOPHLEBIIDAE,BXY,7868,BXY,7868
B150:1:10,Leptophlebia Westwood,Westwood,,,,,genus,,B150:1,accepted,,,B150:1:9,Leptophlebiidae,,,,,Leptophlebiidae,,Leptophlebia,,Leptophlebiidae,Leptophlebia Westwood,5D97,1407190,5D97,1407190
B150:1:11,Leptophlebia marginata (L.),(L.),Leptophlebia,,marginata,,species,,B150:1,accepted,,,B150:1:10,Leptophlebia Westwood,,,,,Leptophlebiidae,,Leptophlebia,,Leptophlebiidae | Leptophlebia,Leptophlebia marginata (L.),6PHPZ,4481232,6PHPZ,4481232
B150:1:12,Leptophlebia vespertina (L.),(L.),Leptophlebia,,vespertina,,species,,B150:1,accepted,,,B150:1:10,Leptophlebia Westwood,,,,,Leptophlebiidae,,Leptophlebia,,Leptophlebiidae | Leptophlebia,Leptophlebia vespertina (L.),3TT4Y,4481234,3TT4Y,4481234
B150:1:13,Paraleptophlebia Lestage,Lestage,,,,,genus,,B150:1,accepted,,,B150:1:9,Leptophlebiidae,,,,,Leptophlebiidae,,Paraleptophlebia,,Leptophlebiidae,Paraleptophlebia Lestage,6F8B,1407240,6F8B,1407240
B150:1:14,Paraleptophlebia cincta (Brauer),(Brauer),Paraleptophlebia,,cincta,,species,,B150:1,accepted,,,B150:1:13,Paraleptophlebia Lestage,,,,,Leptophlebiidae,,Paraleptophlebia,,Leptophlebiidae | Paraleptophlebia,Paraleptophlebia cincta (Brauer),4CYMS,4481241,4CYMS,4481241
B150:1:15,Paraleptophlebia submarginata (Stephens),(Stephens),Paraleptophlebia,,submarginata,,species,,B150:1,accepted,,,B150:1:13,Paraleptophlebia Lestage,,,,,Leptophlebiidae,,Paraleptophlebia,,Leptophlebiidae | Paraleptophlebia,Paraleptophlebia submarginata (Stephens),6TPYX,4481237,6TPYX,4481237
B150:1:16,Paraleptophlebia tumida Bengtsson,Bengtsson,Paraleptophlebia,,tumida,,species,,B150:1,accepted,,,B150:1:13,Paraleptophlebia Lestage,,,,,Leptophlebiidae,,Paraleptophlebia,,Leptophlebiidae | Paraleptophlebia,Paraleptophlebia tumida Bengtsson,,4481250,,4481249
B150:1:17,Habrophlebia Eaton,Eaton,,,,,genus,,B150:1,accepted,,,B150:1:9,Leptophlebiidae,,,,,Leptophlebiidae,,Habrophlebia,,Leptophlebiidae,Habrophlebia Eaton,4S9R,1407340,4S9R,1407340
B150:1:18,Habrophlebia fusca (Curt.),(Curt.),Habrophlebia,,fusca,,species,,B150:1,accepted,,,B150:1:17,Habrophlebia Eaton,,,,,Leptophlebiidae,,Habrophlebia,,Leptophlebiidae | Habrophlebia,Habrophlebia fusca (Curt.),3J5T9,1407344,3J5T9,1407344
B150:1:19,Ephemerellidae,,,,,,family,,B150:1,accepted,,,,,,,,,Ephemerellidae,,,,,EPHEMERELLIDAE,623ZC,7870,623ZC,7870
B150:1:20,Ephemerella Walsh,Walsh,,,,,genus,,B150:1,accepted,,,B150:1:19,Ephemerellidae,,,,,Ephemerellidae,,Ephemerella,,Ephemerellidae,Ephemerella Walsh,4CTK,1407473,4CTK,1407473
B150:1:21,Ephemerella ignita (Poda),(Poda),Ephemerella,,ignita,,species,,B150:1,accepted,,,B150:1:20,Ephemerella Walsh,,,,,Ephemerellidae,,Ephemerella,,Ephemerellidae | Ephemerella,Ephemerella ignita (Poda),,6096704,,4481256
B150:1:22,Ephemerella notata Eaton,Eaton,Ephemerella,,notata,,species,,B150:1,accepted,,,B150:1:20,Ephemerella Walsh,,,,,Ephemerellidae,,Ephemerella,,Ephemerellidae | Ephemerella,Ephemerella notata Eaton,6FP2C,6931868,6FP2C,6931868
B150:1:23,Caenidae,,,,,,family,,B150:1,accepted,,,,,,,,,Caenidae,,,,,CAENIDAE,7J4,7869,7J4,7869
B150:1:24,Caenis Stephens,Stephens,,,,,genus,,B150:1,accepted,,,B150:1:23,Caenidae,,,,,Caenidae,,Caenis,,Caenidae,Caenis Stephens,62JGW,1408104,62JGW,1408104
B150:1:25,Caenis horaria (L.),(L.),Caenis,,horaria,,species,,B150:1,accepted,,,B150:1:24,Caenis Stephens,,,,,Caenidae,,Caenis,,Caenidae | Caenis,Caenis horaria (L.),P9LD,5757628,P9LD,5757628
