scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B602:2:1,"Lasioglossum Curtis, 1833","Curtis, 1833",,,,,genus,,B602:2,accepted,,,,,,,,,,,Lasioglossum,,,"Lasioglossum Curtis, 1833",5B4P,1353501,5B4P,1353501
B602:2:2,"Evylaeus Robertson, 1902","Robertson, 1902",,,,,subgenus,,B602:2,accepted,,,B602:2:1,"Lasioglossum Curtis, 1833",,,,,,,Lasioglossum,Evylaeus,Lasioglossum,"Evylaeus Robertson, 1902",,,,
B602:2:3,"Lasioglossum aeratum (Kirby, 1802)","(Kirby, 1802)",Lasioglossum,Evylaeus,aeratum,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"aeratum (Kirby, 1802)",6NYLR,1355135,6NYLR,1355135
B602:2:4,"Halictus viridiaeneus Blüthgen, 1918","Blüthgen, 1918",Halictus,,viridiaeneus,,species,,B602:2,synonym,B602:2:3,"Lasioglossum aeratum (Kirby, 1802)",,,,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"Halictus viridiaeneus Blüthgen, 1918",,,,
B602:2:5,"Lasioglossum albipes (Fabricius, 1781)","(Fabricius, 1781)",Lasioglossum,Evylaeus,albipes,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"albipes (Fabricius, 1781)",3SDNT,1354990,3SDNT,1354990
B602:2:6,"Lasioglossum alpigenum (Dalla Torre, 1877)","(Dalla Torre, 1877)",Lasioglossum,Evylaeus,alpigenum,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"alpigenum (Dalla Torre, 1877)",3SDPJ,1354743,3SDPJ,1354743
B602:2:7,"Lasioglossum angusticeps (Perkins, 1895)","(Perkins, 1895)",Lasioglossum,Evylaeus,angusticeps,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"angusticeps (Perkins, 1895)",3SDQ8,1354521,3SDQ8,1354521
B602:2:8,"Halictus exetinus Cockerell, 1938","Cockerell, 1938",Halictus,,exetinus,,species,,B602:2,synonym,B602:2:7,"Lasioglossum angusticeps (Perkins, 1895)",,,,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"Halictus exetinus Cockerell, 1938",,,,
B602:2:9,"Halictus indecisus Cockerell, 1938","Cockerell, 1938",Halictus,,indecisus,,species,,B602:2,synonym,B602:2:7,"Lasioglossum angusticeps (Perkins, 1895)",,,,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"Halictus indecisus Cockerell, 1938",,,,
B602:2:10,"Lasioglossum bavaricum (Blüthgen, 1930)","(Blüthgen, 1930)",Lasioglossum,Evylaeus,bavaricum,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"bavaricum (Blüthgen, 1930)",3SDTF,1355263,3SDTF,1355263
B602:2:11,"Lasioglossum bluethgeni Ebmer, 1971","Ebmer, 1971",Lasioglossum,Evylaeus,bluethgeni,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"bluethgeni Ebmer, 1971",6NYN7,1354959,6NYN7,1354959
B602:2:12,"Halictus hirtiventris Blüthgen, 1923","Blüthgen, 1923",Halictus,,hirtiventris,,species,,B602:2,synonym,B602:2:11,"Lasioglossum bluethgeni Ebmer, 1971",,,,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"Halictus hirtiventris Blüthgen, 1923",,12003846,,1354959
B602:2:13,"Lasioglossum brevicorne (Schenck, 1868)","(Schenck, 1868)",Lasioglossum,Evylaeus,brevicorne,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"brevicorne (Schenck, 1868)",6NYB8,1354819,6NYB8,1354819
B602:2:14,"Lasioglossum buccale (Pérez, 1903)","(Pérez, 1903)",Lasioglossum,Evylaeus,buccale,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"buccale (Pérez, 1903)",3SDVB,1354640,3SDVB,1354640
B602:2:15,"Lasioglossum calceatum (Scopoli, 1763)","(Scopoli, 1763)",Lasioglossum,Evylaeus,calceatum,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"calceatum (Scopoli, 1763)",3SDVS,1354476,3SDVS,1354476
B602:2:16,"Lasioglossum clypeare (Schenck, 1853)","(Schenck, 1853)",Lasioglossum,Evylaeus,clypeare,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"clypeare (Schenck, 1853)",3SDYK,1353509,3SDYK,1353509
B602:2:17,"Lasioglossum convexiusculum (Schenck, 1853)","(Schenck, 1853)",Lasioglossum,Evylaeus,convexiusculum,,species,,B602:2,accepted,,,B602:2:2,"Evylaeus Robertson, 1902",,,,,,,Lasioglossum,Evylaeus,Lasioglossum | Evylaeus,"convexiusculum (Schenck, 1853)",6NYC4,1355083,6NYC4,1355083
