scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B891:1:1,Andrena,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Andrena,,,Andrena,62BS5,1345710,62BS5,1345710
B891:1:2,Anthidium,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Anthidium,,,Anthidium,XCK,1334798,XCK,1334798
B891:1:3,Anthidiellum,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Anthidiellum,,,Anthidiellum,XCG,1338847,XCG,1338847
B891:1:4,Anthophora,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Anthophora,,,Anthophora,XF5,1337506,XF5,1337506
B891:1:5,Apis,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Apis,,,Apis,YNV,1334757,YNV,1334757
B891:1:6,Bombus,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Bombus,,,Bombus,62H8K,11239415,62H8K,11239415
B891:1:7,Ceratina,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Ceratina,,,Ceratina,3KPT,1341198,3KPT,1341198
B891:1:8,Chelostoma,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Chelostoma,,,Chelostoma,62M68,1334476,62M68,1334476
B891:1:9,Coelioxys,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Coelioxys,,,Coelioxys,62N47,1338333,62N47,1338333
B891:1:10,Colletes,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Colletes,,,Colletes,3SBT,1348504,3SBT,1348504
B891:1:11,Dasypoda,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Dasypoda,,,Dasypoda,423Y,1345853,423Y,1345853
B891:1:12,Epeoloides,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Epeoloides,,,Epeoloides,4CS2,1341849,4CS2,1341849
B891:1:13,Epeolus,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Epeolus,,,Epeolus,4CS4,1341852,4CS4,1341852
B891:1:14,Eucera,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Eucera,,,Eucera,4F48,1340870,4F48,1340870
B891:1:15,Halictus,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Halictus,,,Halictus,4SQY,1347978,4SQY,1347978
B891:1:16,Heriades,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Heriades,,,Heriades,4VSY,1336750,4VSY,1336750
B891:1:17,Hoplitis,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Hoplitis,,,Hoplitis,4YKZ,1336906,4YKZ,1336906
B891:1:18,Hylaeus,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Hylaeus,,,Hylaeus,4ZZ9,1349360,4ZZ9,1349360
B891:1:19,Lasioglossum,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Lasioglossum,,,Lasioglossum,5B4P,1353501,5B4P,1353501
B891:1:20,Macropis,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Macropis,,,Macropis,5JKB,1345894,5JKB,1345894
B891:1:21,Megachile,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Megachile,,,Megachile,5MM4,1335011,5MM4,1335011
B891:1:22,Chalicodoma,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Chalicodoma,,,Chalicodoma,,1334180,,1334180
B891:1:23,Melecta,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Melecta,,,Melecta,5NNC,1345295,5NNC,1345295
B891:1:24,Melitta,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Melitta,,,Melitta,5NSG,1345736,5NSG,1345736
B891:1:25,Nomada,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Nomada,,,Nomada,64QG,1343230,64QG,1343230
B891:1:26,Osmia,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Osmia,,,Osmia,63GNP,1337664,63GNP,1337664
B891:1:27,Panurgus,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Panurgus,,,Panurgus,6DDR,1352891,6DDR,1352891
B891:1:28,Sphecodes,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Sphecodes,,,Sphecodes,7KPG,1351262,7KPG,1351262
B891:1:29,Stelis,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Stelis,,,Stelis,645WT,1334181,645WT,1334181
B891:1:30,Xylocopa,,,,,,genus,,B891:1,accepted,,,,,,,,,,,Xylocopa,,,Xylocopa,89GZ,1342048,89GZ,1342048
