scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B1727:3:1,Stratiomyidae,,,,,,family,,B1727:3,accepted,,,,,,,,,Stratiomyidae,,,,,Stratiomyidae,CF66Z,6923,CF66Z,6923
B1727:3:2,Antissinae,,,,,,subfamily,,B1727:3,accepted,,,B1727:3:1,Stratiomyidae,,,,,Stratiomyidae,Antissinae,,,Stratiomyidae,Antissinae,BXWZ3,,BXWZ3,
B1727:3:3,Exodontha,,,,,,genus,,B1727:3,accepted,,,B1727:3:2,Antissinae,,,,,Stratiomyidae,Antissinae,Exodontha,,Stratiomyidae | Antissinae,Exodontha,BYD82,1581333,BYD82,1581333
B1727:3:4,"Exodontha dubia (Zetterstedt, 1838)","(Zetterstedt, 1838)",Exodontha,,dubia,,species,,B1727:3,accepted,,,B1727:3:3,Exodontha,,,,,Stratiomyidae,Antissinae,Exodontha,,Stratiomyidae | Antissinae | Exodontha,"dubia (Zetterstedt, 1838)",3DNBN,1581334,3DNBN,1581334
B1727:3:5,Beridinae,,,,,,subfamily,,B1727:3,accepted,,,B1727:3:1,Stratiomyidae,,,,,Stratiomyidae,Beridinae,,,Stratiomyidae,Beridinae,87CDN,,87CDN,
B1727:3:6,Actina,,,,,,genus,,B1727:3,accepted,,,B1727:3:5,Beridinae,,,,,Stratiomyidae,Beridinae,Actina,,Stratiomyidae | Beridinae,Actina,BXY3R,1577507,BXY3R,1577507
B1727:3:7,"Actina chalybea Meigen, 1804","Meigen, 1804",Actina,,chalybea,,species,,B1727:3,accepted,,,B1727:3:6,Actina,,,,,Stratiomyidae,Beridinae,Actina,,Stratiomyidae | Beridinae | Actina,"chalybea Meigen, 1804",9SV2,1577532,9SV2,1577532
B1727:3:8,Beris,,,,,,genus,,B1727:3,accepted,,,B1727:3:5,Beridinae,,,,,Stratiomyidae,Beridinae,Beris,,Stratiomyidae | Beridinae,Beris,BXYWP,1459648,BXYWP,1459648
B1727:3:9,"Beris chalybata (Forster, 1771)","(Forster, 1771)",Beris,,chalybata,,species,,B1727:3,accepted,,,B1727:3:8,Beris,,,,,Stratiomyidae,Beridinae,Beris,,Stratiomyidae | Beridinae | Beris,"chalybata (Forster, 1771)",5WJTF,1580608,5WJTF,1580608
B1727:3:10,"Beris clavipes (Linnaeus, 1767)","(Linnaeus, 1767)",Beris,,clavipes,,species,,B1727:3,accepted,,,B1727:3:8,Beris,,,,,Stratiomyidae,Beridinae,Beris,,Stratiomyidae | Beridinae | Beris,"clavipes (Linnaeus, 1767)",LL3F,1580585,LL3F,1580585
B1727:3:11,"Beris cypria James, 1970","James, 1970",Beris,,cypria,,species,,B1727:3,accepted,,,B1727:3:8,Beris,,,,,Stratiomyidae,Beridinae,Beris,,Stratiomyidae | Beridinae | Beris,"cypria James, 1970",LL3J,1580592,LL3J,1580592
